date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:11	70957/70957	---M--	200	added ('OK')	application/javascript	etag:%22b487e-1152d-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/js/apps/dashboard/server.js	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/js/apps/dashboard/server.js	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/apps-dashboards-server.html)
16:00:14	4891/4891	---M--	200	added ('OK')	application/javascript	etag:%22b4874-131b-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/js/apps/calendar/calendar.js	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/js/apps/calendar/calendar.js	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/apps-calendar.html)
16:00:27	292052/292052	---M--	200	added ('OK')	application/x-font-ttf	etag:%22b47ad-474d4-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/icons/fuse-icon-font/fonts/fuse-iconfont.ttf?9udsnt	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/icons/fuse-icon-font/fonts/fuse-iconfont4edf.ttf	(from http://bootstrap-material.fusetheme.com/assets/icons/fuse-icon-font/style.css)
16:00:28	292128/292128	---M--	200	added ('OK')	application/x-font-woff	etag:%22b47b2-47520-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/icons/fuse-icon-font/fonts/fuse-iconfont.woff?9udsnt	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/icons/fuse-icon-font/fonts/fuse-iconfont4edf.woff	(from http://bootstrap-material.fusetheme.com/assets/icons/fuse-icon-font/style.css)
16:00:29	905/905	---M--	200	added ('OK')	image/png	etag:%22b482f-389-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/images/ecommerce/product-image-placeholder.png	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/images/ecommerce/product-image-placeholder.png	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/apps-e-commerce-product.html)
16:00:29	5577/5577	---M--	200	added ('OK')	application/javascript	etag:%22b4893-15c9-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/js/apps/e-commerce/products/products.js	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/js/apps/e-commerce/products/products.js	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/apps-e-commerce-products.html)
16:00:30	100574/100574	---M--	200	added ('OK')	image/jpeg	etag:%22b4820-188de-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/images/ecommerce/a-walk-amongst-friends.jpg	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/images/ecommerce/a-walk-amongst-friends.jpg	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/apps-e-commerce-products.html)
16:00:41	67802/67802	---M--	200	added ('OK')	image/jpeg	etag:%22b4826-108da-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/images/ecommerce/first-snow.jpg	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/images/ecommerce/first-snow.jpg	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/apps-e-commerce-product.html)
16:00:42	213774/213774	---M--	200	added ('OK')	application/javascript	etag:%22b6326-3430e-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/node_modules/fullcalendar/dist/fullcalendar.min.js	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/node_modules/fullcalendar/dist/fullcalendar.min.js	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/apps-calendar.html)
16:00:45	101605/101605	---M--	200	added ('OK')	image/jpeg	etag:%22b4823-18ce5-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/images/ecommerce/braies-lake.jpg	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/images/ecommerce/braies-lake.jpg	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/apps-e-commerce-product.html)
